id,name,alias,category,domain,origin,worship,note
WC-01,文昌帝君,梓潼帝君／文曲星,五文昌,功名、文運、考試,源於四川梓潼神張亞子，後與文曲星信仰合流，掌人間祿籍科名,求升學、考運、學業順遂,五文昌主神，考生最常拜
WC-02,魁星,魁斗星君／大魁夫子,五文昌,考運、奪魁、名次,北斗第一星「魁」主科甲；造型手持硃筆、腳踢北斗,求金榜題名、名列前茅,「魁星踢斗、獨占鰲頭」
WC-03,朱衣神君,朱衣星君,五文昌,閱卷、評定、文章獲賞,傳為主掌科考批閱之神，「朱衣點頭」典故,求文章被青睞、評分順利,五文昌之一
WC-04,孚佑帝君,呂洞賓／純陽祖師,五文昌,智慧、文思通達,八仙之一呂洞賓，後被奉為文昌之一,求智慧開通、思路清晰,五文昌之一
WC-05,關聖帝君,文衡聖帝／關公,五文昌,正直、忠義、文衡,關羽夜讀春秋，以忠義文衡入列文昌,求品學端正、明辨是非,五文昌之一，亦為武財神
CF-01,至聖先師,孔子／大成至聖先師,儒家,學問、教育、品德,儒家創始孔子，歷代奉為教育宗師，祀於孔廟,考前祈福、求學業與品行,台灣常於孔廟祈福、摸智慧梁
CG-01,倉頡,倉頡先師／制字先師,其他,文字、書寫,黃帝史官，傳為漢字創造者,求書寫流暢、文筆精進,與文字工作者相關
BD-01,文殊菩薩,文殊師利／大智文殊,佛教,智慧第一、學業精進,佛教四大菩薩之一，象徵般若智慧，持劍與經,求開智慧、學業精進,佛教徒求學常拜
BD-02,準提佛母,準提菩薩／七俱胝佛母,佛教,智慧、消障、開智,密教本尊，準提咒廣傳，求智慧除障,求聰慧、清除學習障礙,常持準提咒
BD-03,觀世音菩薩,觀音／觀自在,佛教,智慧、心安、所求如願,大慈大悲觀世音，普門應化度眾,求心定、考試臨場安穩,信眾最廣泛
