id,purpose_code,purpose,name,birthday,alias,group,domain,origin,worship,note
WC-01,1,學業進步,文昌帝君,農曆二月初三,梓潼帝君／文曲星,五文昌,功名、文運、考試,源於四川梓潼神張亞子，後與文曲星信仰合流，掌人間祿籍科名,求升學、考運、學業順遂,五文昌主神，考生最常拜
WC-02,1,學業進步,魁星,農曆七月初七,魁斗星君／大魁夫子,五文昌,考運、奪魁、名次,北斗第一星「魁」主科甲；造型手持硃筆、腳踢北斗,求金榜題名、名列前茅,「魁星踢斗、獨占鰲頭」
WC-03,1,學業進步,朱衣神君,無統一聖誕,朱衣星君,五文昌,閱卷、評定、文章獲賞,傳為主掌科考批閱之神，「朱衣點頭」典故,求文章被青睞、評分順利,五文昌之一
WC-04,1,學業進步,孚佑帝君,農曆四月十四,呂洞賓／純陽祖師,五文昌,智慧、文思通達,八仙之一呂洞賓，後被奉為文昌之一,求智慧開通、思路清晰,五文昌之一
WC-05,1,學業進步,關聖帝君,農曆六月廿四,文衡聖帝／關公,五文昌,正直、忠義、文衡,關羽夜讀春秋，以忠義文衡入列文昌,求品學端正、明辨是非,五文昌之一，亦為武財神
CF-01,1,學業進步,至聖先師,農曆八月廿七（國曆9/28教師節）,孔子／大成至聖先師,儒家,學問、教育、品德,儒家創始孔子，歷代奉為教育宗師，祀於孔廟,考前祈福、求學業與品行,台灣常於孔廟祈福、摸智慧梁
CG-01,1,學業進步,倉頡,農曆三月廿八（各源不一）,倉頡先師／制字先師,民間,文字、書寫,黃帝史官，傳為漢字創造者,求書寫流暢、文筆精進,與文字工作者相關
BD-01,1,學業進步,文殊菩薩,農曆四月初四,文殊師利／大智文殊,佛教,智慧第一、學業精進,佛教四大菩薩之一，象徵般若智慧，持劍與經,求開智慧、學業精進,佛教徒求學常拜
BD-02,1,學業進步,準提佛母,農曆三月十六,準提菩薩／七俱胝佛母,佛教,智慧、消障、開智,密教本尊，準提咒廣傳，求智慧除障,求聰慧、清除學習障礙,常持準提咒
BD-03,1,學業進步,觀世音菩薩,農曆二月十九,觀音／觀自在,佛教,智慧、心安、所求如願,大慈大悲觀世音，普門應化度眾,求心定、考試臨場安穩,另有六月十九、九月十九
HE-01,2,身體健康,保生大帝,農曆三月十五,大道公／吳真人,道教,醫藥、治病、消災,北宋名醫吳夲行醫濟世，歿後封大道公，為台灣醫藥主神,求身體康復、疾病平安,台灣醫藥信仰核心
HE-02,2,身體健康,神農大帝,農曆四月廿六,五穀先帝／藥王大帝,民間,醫藥、農作、嚐百草,上古神農氏嚐百草辨藥性，為農與醫之祖,求健康、農作豐收,藥鋪與農家常奉
HE-03,2,身體健康,華佗,農曆四月十八（各源不一）,華佗仙師／神醫,民間,醫術、外科,東漢神醫華佗，精外科與針灸,求醫病順利、手術平安,醫護與病家祈求
HE-04,2,身體健康,藥師佛,農曆九月三十,藥師琉璃光如來,佛教,消災延壽、療病,東方淨琉璃世界教主，十二大願拔除病苦,求消災延壽、身心安康,常誦藥師經咒
HE-05,2,身體健康,孫思邈,農曆四月廿八（各源不一）,藥王孫真人,民間,醫藥、養生,唐代名醫著千金方，奉為藥王,求養生健康、久病得癒,藥王廟主祀
TR-01,3,安全出行,媽祖,農曆三月廿三,天上聖母／天后,民間,航海、旅途、護佑平安,宋代林默娘護佑海上漁民，台灣最盛行的海神,求出海與旅途平安,遶境信仰極盛
TR-02,3,安全出行,福德正神,農曆二月初二,土地公／福德爺,民間,地方守護、出入平安,土地之神，守護鄉里與行旅,求出入平安、路途順遂,出門「拜土地公」習俗
TR-03,3,安全出行,中壇元帥,農曆九月初九,三太子／哪吒,民間,護身、開路、驅邪,封神演義哪吒，腳踏風火輪，主開路護衛,求行路護身、開路平安,常見隨駕護衛
TR-04,3,安全出行,玄天上帝,農曆三月初三,北極玄天上帝／上帝公,道教,驅邪、鎮煞、護佑,北方真武大帝，掌驅邪鎮煞,求避凶趨吉、出行無險,腳踏龜蛇
TR-05,3,安全出行,王爺,依各府千歲而異,代天巡狩／千歲爺,民間,驅瘟、護境、航海平安,代天巡狩之神，護境驅瘟、佑漁航,求境域與航海平安,王船祭典聞名
CW-01,4,財運事業,武財神,農曆三月十五（各源不一）,趙公明／玄壇真君,道教,招財進寶、正偏財,封神演義趙公明受封玄壇真君，統四方財神,求生意興隆、財源廣進,五路財神之中路
CW-02,4,財運事業,財帛星君,農曆七月廿二（財神節）,增福財神／李詭祖,民間,財帛、賜福,司掌天下財帛，民間財神節主神,求財運亨通、財庫豐盈,農曆七月廿二為財神節
CW-03,4,財運事業,關聖帝君,農曆六月廿四,武財神／關公,民間,信義、招財,商家奉關公為武財神，重誠信義氣,求買賣公道、生意守信,與學業類同神（文衡）
CW-04,4,財運事業,文財神比干,無統一聖誕,比干／無心財神,民間,正財、公正,商紂忠臣比干剖心無私，奉為文財神,求公正得財、童叟無欺,因「無心」象徵不偏私
CW-05,4,財運事業,陶朱公,無統一聖誕,范蠡／文財神,民間,經商、理財,越國范蠡三聚三散其財，後世尊為商聖,求經營有道、理財有方,商聖典範
CW-06,4,財運事業,五路財神,正月初五迎財神（聖誕各源不一）,五路財神／路頭神,民間,五方招財,以玄壇真君為中路，統東西南北四路財神,求四方來財、開市大吉,正月初五接財神
CW-07,4,財運事業,福德正神,農曆二月初二,土地公／福德爺,民間,生意、守財,土地之神亦司財，商家初二十六「做牙」拜土地公,求生意興隆、守住財庫,與安全出行為同神
